Grapheme	IPA
^	NULL
$	NULL
ˈ	NULL
.	NULL
A	a
a	a
a:	aː
aᵗ	a
aᵗʲ	a
aᵘ	au
aⁱ	ai
aʰ	a
à	a
á	a
á:	aː
áⁱ	ai
ã	ã
ã́	ã
B	b
b	b
bʰ	bʰ
c	c
d	d
ds	d s
dʲ	dʲ
e	e
e:	eː
eⁱ	ei
eʰ	e
è	e
é	e
é:	eː
éⁱ	ei
ii̵	ɨː
ee:	eː
ẽ	ẽ
ẽ́	ẽ
f	f
g	g
gʷ	gʷ
h	h
hʷ	hʷ
hʸ	h
I	i
i	i
i:	iː
ì	i
í	i
í:	iː
íᵗʰ	i
í̃	ĩ
ĩ	ĩ
ĩʰ	ĩ
ĩ̀	ĩ
ĩ́	ĩ
ī	i
i̵	ɨ
i̵:	ɨː
ì̵	ɨ
í̵	ɨ
í̵:	ɨː
ĩ̵	ɨ̃
ĩ̵:	ɨ̃ː
ĩ̵́	ɨ̃
ĩ̵́:	ɨ̃ː
í̵̵	ɨ
ĩ̵̵	ɨ̃
ĩ̵̵́	ɨ̃
j	j
k	k
kʰ	kʰ
kʰʲ	kʰʲ
kʲ	kʲ
kʷ	kʷ
kˣ	k
l	l
lʲ	lʲ
m	m
mʲ	mʲ
m̥	m̥
n	n
nʲ	nʲ
nʸ	nʲ
ñ	ñ
n̥	n̥
o	o
o:	oː
oᵘ	ou
oʰ	o
ò	o
ó	o
ó:	oː
óᵘ	ou
õ	õ
õ̀	õ
ṍ	õ
ṍ:	õː
p	p
pʰ	pʰ
pʰʲ	pʲʰ
pʲ	pʲ
q	q
r	r
rʲ	rʲ
r̵	r
s	s
sʰ	sʰ
sʰʲ	sʲʰ
t	t
ts	ts
tsʰ	tsʰ
tsʰʲ	tsʲʰ
tʰ	tʰ
tʰʲ	tʲʰ
tʰʷ	tʷʰ
tʲ	tʲ
u	u
u:	uː
ù	u
ú	u
ú:	uː
ũ	ũ 
ṹ	ũ
ü	u
v	v
w	w
w̃	w̃
x	x
xʲ	xʲ
y	y
z	z
ᵐb	ⁿb
ᵑg	ⁿg
ᵘa	a
ᵘã	ã
ᵘd	d
ᵘe	e
ᵘẽ	ẽ
ᵘi	i
⁴	NULL
ⁿd	ⁿd
²	NULL
³	NULL
¹	NULL
æ	æ
æ̃	æ̃
ŋ	ŋ
ɓ	ɓ
ɔ	ɔ
ɔ̃	ɔ̃
ɕ	ɕ
ɗ	ɗ
ə	ə
ə:	əː
ə́	ə
ə̃	ə̃
ɛ	ɛ
ɛ́	ɛ
ɛ̃	ɛ̃
ɣ	g
ɩ	ɪ
ɯ	ɯ
ɯ̀	ɯ
ɯ́	ɯ
ɯ̃	ɯ̃
ɯ̃́	ɯ̃
ɲ	ɲ
ɲ̥	ɲ̥
ɸ	ɸ
ɺ	ɺ
ɾ	ɾ
ʃ	ʃ
ʊ	ʊ
ʌ	ʌ
ʒ	ʒ
ʔ	ʔ
ʤ	dʒ
ʧ	tʃ
ʧʰ	tʃʰ
tɕ	tɕ
ʰd	ʰd
ʰu	u
β	β
βʲ	βʲ
θ	θ
ii	iː
aa	aː
ee	eː
uu	uː
oo	oː
